0,1,2,3,4,5,6,7,8,9
249,248,882,980,128,972,365,473,755,568
251,250,564,393,293,184,649,626,42,674
62,128,896,958,842,157,365,444,501,671
254,255,370,423,940,116,843,405,857,350
256,16,683,130,911,628,46,252,353,257
258,379,388,948,727,524,988,273,779,268
158,171,767,603,318,506,631,532,302,456
263,303,518,732,655,146,37,330,291,262
265,264,732,681,272,34,465,329,270,139
548,221,157,189,62,293,905,962,913,842
786,555,269,332,709,518,225,268,553,263
270,271,507,186,683,52,486,312,657,602
272,918,946,686,772,273,893,496,171,107
274,358,275,953,325,788,506,422,807,618
788,975,41,231,870,729,889,770,364,723
382,98,548,905,913,262,177,293,842,157
150,564,152,35,587,717,538,281,53,975
283,803,21,833,387,835,637,868,312,385
788,231,507,193,459,971,175,575,343,506
286,287,449,152,50,404,973,719,785,857
725,289,134,3,940,918,499,681,324,132
290,497,291,954,278,931,655,862,441,766
292,139,490,190,164,539,826,967,465,491
294,295,242,175,712,385,196,231,243,468
296,297,50,131,116,245,32,891,431,786
7,234,924,829,299,929,948,343,587,947
301,300,689,733,467,899,186,787,551,432
302,714,772,450,536,76,171,82,158,652
35,42,772,671,136,55,124,193,499,311
306,871,305,811,255,68,704,367,687,100
299,425,290,598,312,929,7,795,576,309
497,968,868,312,706,578,355,244,687,253
312,313,516,735,671,13,175,447,73,661
794,914,581,915,128,859,176,767,365,91
316,317,819,638,24,618,224,842,560,62
319,276,457,977,444,542,996,456,570,445
321,490,700,172,70,465,605,578,190,292
188,947,781,261,483,189,57,318,793,899
298,910,918,904,401,299,293,493,173,238
573,326,190,701,501,778,686,897,681,500
329,438,22,864,582,11,217,314,293,484
173,172,918,681,291,493,560,485,841,401
332,333,905,856,674,979,467,694,889,138
335,334,839,314,495,349,103,494,109,174
61,100,101,337,336,885,296,60,137,984
137,338,331,516,339,407,868,545,98,811
904,979,308,413,578,552,365,905,555,173
324,548,189,177,832,819,852,473,729,365
345,344,860,326,861,829,5,411,895,683
347,346,320,27,674,697,281,571,589,43
348,349,861,860,361,472,194,471,737,778
891,68,291,129,869,338,290,204,841,732
352,353,67,834,537,316,46,84,881,941
355,821,928,34,722,356,185,847,224,546
356,376,219,408,142,164,135,868,884,245
359,329,425,424,262,358,560,579,946,490
361,360,588,829,662,897,795,263,90,958
362,363,728,138,796,913,971,476,551,391
869,681,364,89,560,312,491,812,584,366
366,367,202,203,13,254,474,255,436,12
368,369,308,596,597,690,720,699,974,940
371,370,491,627,219,570,637,147,454,185
373,372,640,883,731,236,429,478,249,719
484,981,826,473,890,735,516,313,42,139
302,41,759,365,772,19,35,171,124,643
378,379,232,980,539,485,910,979,694,723
381,380,12,490,970,949,185,310,550,896
972,171,506,917,479,450,193,915,641,953
488,870,385,29,475,612,973,34,589,210
387,386,826,21,472,312,302,90,313,240
388,389,97,169,426,735,312,832,908,826
391,390,138,363,942,362,833,369,151,262
393,392,676,728,113,291,723,563,70,412
394,395,285,518,570,881,658,995,875,247
396,397,773,866,867,571,513,494,771,78
189,905,962,548,842,124,534,832,323,631
400,304,535,773,178,485,979,62,81,335
403,402,113,385,348,961,168,629,526,854
404,920,874,42,637,168,775,185,686,37
407,406,961,959,200,201,931,23,844,677
408,409,261,176,666,832,476,778,667,26
524,244,841,461,576,484,824,849,735,168
412,732,549,28,137,633,946,690,507,724
414,820,415,318,66,783,806,744,475,197
339,417,861,416,860,291,338,429,348,91
419,418,580,490,754,297,109,568,928,120
421,420,752,654,239,655,208,764,345,387
566,302,218,527,354,177,759,459,390,532
324,983,597,770,894,14,548,221,220,852
794,568,859,128,214,557,479,556,915,882
428,429,948,633,396,814,397,644,244,526
117,568,430,827,431,310,425,755,839,55
432,263,433,400,594,481,252,551,968,499
434,435,745,704,163,341,653,139,927,444
437,94,436,79,542,532,965,19,41,555
438,439,605,714,173,70,111,763,982,314
307,144,124,566,575,193,35,462,506,266
113,826,168,404,37,909,446,972,829,480
444,481,445,305,762,177,819,732,772,158
446,447,632,434,834,970,633,927,835,926
449,21,947,827,64,478,830,287,214,656
450,786,671,729,459,506,150,35,124,171
452,847,162,820,272,716,481,265,403,318
454,404,888,189,22,893,928,474,232,351
351,454,203,202,998,599,987,947,518,872
399,185,490,371,34,23,696,425,291,975
461,460,828,29,487,671,312,968,232,701
35,76,538,177,218,847,729,231,158,459
465,665,346,78,882,942,275,749,522,551
466,467,778,107,896,126,459,157,127,469
469,468,152,677,34,403,113,676,196,351
470,471,194,949,422,653,486,238,948,389
942,548,507,262,890,992,690,54,244,683
474,475,404,716,260,356,528,389,445,183
477,797,514,415,145,197,37,476,260,612
478,640,740,449,784,156,307,479,21,753
480,481,523,441,999,263,732,919,150,331
482,483,11,10,877,393,261,753,585,586
871,490,58,282,833,138,797,462,694,630
486,568,950,425,494,238,491,315,611,195
489,488,948,719,895,659,427,128,376,775
729,231,538,788,152,772,35,942,786,459
62,560,401,493,221,976,552,70,913,780
495,494,297,498,509,557,989,96,499,521
516,849,72,862,336,8,66,775,91,429
498,565,221,239,30,5,888,364,395,879
501,500,633,240,139,7,244,841,433,701
503,502,748,796,747,210,843,797,119,186
59,671,732,422,384,11,35,977,42,715
532,772,266,171,459,366,652,631,124,218
509,508,794,769,245,55,87,882,618,568
511,137,653,164,686,992,868,377,969,918
890,512,526,560,706,190,139,62,244,913
847,124,365,915,46,53,995,514,709,41
516,173,528,621,20,826,241,465,951,172
189,519,132,186,221,71,318,977,175,25
520,521,339,588,343,849,204,173,887,719
523,16,522,168,895,301,948,427,900,237
525,524,614,478,857,21,97,917,214,55
828,979,186,539,548,473,630,107,918,337
529,366,305,528,760,74,847,365,171,898
530,531,753,669,159,732,217,145,383,543
532,94,41,759,499,365,758,743,555,905
534,535,399,298,694,951,769,282,715,946
537,55,310,370,91,12,39,357,458,371
220,770,560,231,832,717,459,177,424,175
540,541,495,521,944,229,846,747,804,737
542,543,770,220,221,94,384,318,653,983
544,545,659,241,39,489,204,388,493,195
547,724,253,301,584,546,706,561,812,687
549,714,623,793,176,245,113,819,302,48
564,896,728,715,527,942,749,674,566,462
424,74,894,806,468,905,889,175,940,936
554,555,578,341,552,485,802,173,904,979
556,557,569,856,882,277,286,287,165,104
559,558,571,300,363,468,469,737,249,819
561,848,137,833,490,822,212,549,13,29
563,562,0,209,330,238,64,462,865,278
565,24,549,317,439,961,618,951,229,160
852,913,898,220,382,842,894,242,390,983
306,642,890,236,653,8,992,499,413,305
571,570,704,235,288,404,412,507,319,20
572,573,396,792,793,594,409,280,722,701
574,719,241,849,430,970,971,431,696,558
4,913,721,473,560,343,309,291,890,828
358,532,231,333,332,222,485,758,424,813
580,581,709,557,928,767,91,389,195,915
583,582,694,329,910,657,74,651,904,40
585,584,95,561,143,716,273,760,789,994
586,585,350,584,451,735,581,272,142,91
71,499,968,507,526,560,729,728,958,971
590,591,730,476,782,670,522,648,541,731
216,217,943,957,138,34,251,593,170,783
594,888,188,595,651,877,89,950,678,92
832,324,852,905,983,548,770,189,717,485
391,210,580,447,413,130,490,806,54,406
842,128,157,742,548,981,905,896,735,473
597,209,780,328,262,450,683,62,293,138
605,482,911,833,966,186,604,724,910,657
607,606,188,186,63,480,65,865,787,502
608,609,904,952,361,340,690,413,188,951
610,611,494,429,769,572,315,30,766,10
612,613,455,377,454,862,232,62,437,720
615,232,361,411,658,360,556,861,660,860
617,616,891,470,27,238,877,653,605,764
343,231,382,323,593,807,653,318,17,499
620,621,532,340,579,444,674,609,217,333
291,91,351,130,338,623,278,891,425,174
888,532,144,124,928,266,641,506,19,914
634,195,122,156,163,694,291,64,735,526
628,107,633,629,701,897,172,700,829,697
584,631,630,61,257,677,985,186,786,704
632,37,633,558,315,265,5,4,488,433
894,157,220,512,735,488,905,473,968,898
637,371,235,834,376,688,150,395,550,880
151,56,639,474,322,971,247,390,625,818
928,479,794,644,703,641,645,914,859,767
642,285,323,337,452,971,34,643,439,174
621,950,494,857,948,314,883,787,491,21
646,473,755,687,794,20,775,647,973,826
835,663,493,792,54,597,510,172,812,648
651,399,283,594,377,273,299,40,216,572
653,602,968,236,19,996,652,674,456,77
55,42,714,536,459,128,742,171,231,450
656,657,500,890,671,473,596,189,83,501
382,195,473,153,128,729,177,882,915,214
914,581,794,645,389,767,928,214,915,479
662,663,423,973,112,422,382,546,152,767
536,506,953,124,772,794,55,742,135,171
666,667,925,333,814,703,975,630,946,68
669,668,530,915,531,361,794,569,842,423
847,670,76,305,444,958,158,564,679,216
672,190,156,841,139,487,890,673,739,516
68,919,862,621,675,539,357,674,642,945
677,676,151,415,66,394,846,50,683,639
678,946,803,793,365,608,679,742,479,609
532,743,905,171,41,124,354,365,953,555
682,576,683,998,716,410,60,823,577,702
685,684,803,952,546,579,328,609,6,429
686,269,666,925,268,667,493,687,712,708
688,689,132,276,210,637,85,655,337,32
894,77,912,944,122,26,946,691,496,960
692,693,869,123,417,37,896,132,958,405
694,904,695,221,748,425,979,189,401,323
671,696,306,704,567,385,263,697,539,312
560,698,699,995,98,244,164,894,137,968
232,700,190,55,701,244,157,735,177,191
928,767,479,859,794,703,915,171,645,946
566,42,311,506,842,307,630,915,575,995
775,981,706,635,473,128,896,750,575,735
315,633,826,244,339,400,5,867,360,4
710,711,416,163,166,959,799,778,63,712
712,321,465,268,61,434,884,137,969,695
889,618,14,220,231,942,846,113,502,266
716,789,265,165,745,272,346,604,584,347
718,190,712,568,752,632,707,486,940,731
721,643,581,720,42,55,735,915,575,842
722,723,737,732,291,26,150,23,760,77
724,85,812,385,652,384,985,364,834,26
727,726,38,698,249,826,740,427,486,632
491,32,164,186,526,458,162,462,163,539
730,731,127,578,260,831,855,108,96,541
733,23,732,301,22,399,300,360,880,974
735,461,826,739,435,107,326,391,906,961
736,776,73,737,432,723,211,150,536,343
738,739,106,726,699,590,775,433,648,721
740,96,478,741,131,673,45,574,784,249
742,743,532,631,759,171,581,266,459,124
745,744,709,480,653,558,306,847,958,515
746,747,672,13,258,503,109,688,841,799
749,571,913,138,262,704,70,172,567,819
751,449,750,568,195,413,194,784,928,915
753,752,634,90,633,861,860,829,480,315
338,507,382,339,195,128,54,891,493,662
757,756,502,112,270,229,640,851,228,243
324,189,318,983,262,401,221,177,485,770
761,760,821,79,170,708,946,893,405,273
763,762,960,477,759,41,770,606,323,676
764,765,376,297,550,810,97,269,789,370
766,17,826,13,487,488,706,16,194,845
769,973,152,768,430,154,794,915,128,568
771,359,341,671,94,942,650,743,499,717
585,655,315,89,773,485,828,690,34,823
775,168,774,461,512,248,429,423,244,42
571,412,175,810,289,355,834,570,288,371
42,128,860,861,794,581,338,980,91,568
946,282,704,694,780,904,333,905,575,322
782,783,167,977,587,744,969,46,327,280
784,785,673,740,478,659,640,719,658,245
100,458,267,547,677,571,749,952,32,9
584,789,137,474,265,585,561,100,562,61
790,791,36,490,862,946,262,244,332,770
792,6,572,952,935,388,32,513,273,760
795,155,360,556,557,859,719,935,361,731
797,796,899,630,415,302,690,762,363,66
772,898,506,896,365,91,674,555,351,641
801,800,744,609,575,714,558,17,285,906
802,803,555,425,189,888,385,280,552,870
889,424,157,548,189,220,729,105,717,894
806,199,198,507,33,630,158,89,32,564
809,808,238,937,7,365,952,298,579,882
811,810,69,704,653,696,537,401,376,975
812,180,246,585,376,453,584,100,21,968
814,815,948,925,610,667,68,333,709,78
816,817,84,304,876,624,877,410,707,764
743,913,564,732,971,358,674,598,150,587
821,820,960,405,368,864,961,66,529,163
823,822,780,262,401,576,796,597,642,549
824,825,5,582,315,849,416,534,269,44
826,190,701,244,487,169,168,560,735,706
37,48,775,120,338,433,461,690,360,235
830,90,433,449,45,663,594,290,798,417
833,716,598,101,547,219,160,415,161,267
834,835,348,316,454,985,219,67,446,455
836,837,51,601,998,115,108,650,950,351
838,839,495,334,845,335,969,494,872,980
702,825,140,614,191,49,311,740,608,840
105,602,843,76,577,842,19,968,406,569
844,845,247,484,818,943,942,975,485,871
846,596,723,724,212,804,552,435,434,627
848,849,172,173,312,209,683,539,828,561
548,189,905,717,220,221,424,770,364,898
527,602,221,157,894,548,318,89,374,105
854,602,979,424,324,2,414,186,460,689
857,587,614,419,385,684,418,893,296,968
726,808,977,127,443,859,399,172,282,298
860,861,838,721,581,944,615,116,560,751
919,862,863,808,75,173,19,458,289,77
864,865,395,175,971,235,625,959,848,685
291,262,306,581,130,609,413,690,861,507
869,137,312,868,579,128,516,486,135,536
870,871,596,103,428,332,537,400,633,333
872,873,170,607,345,606,414,459,740,908
875,869,367,749,706,405,187,325,27,874
876,877,405,706,115,918,481,167,891,501
878,879,716,185,447,537,567,372,718,550
881,880,289,350,674,899,450,122,864,57
883,386,239,508,87,429,39,387,478,314
337,190,890,312,507,560,680,577,539,681
430,886,837,50,115,56,556,478,887,850
306,678,888,365,401,329,305,485,367,946
842,953,193,566,981,788,473,972,42,894
892,790,396,397,293,467,791,893,615,140
895,634,169,489,168,775,448,461,706,427
759,543,867,788,866,897,609,532,616,53
899,18,337,382,787,70,796,73,689,276
901,900,893,579,271,757,756,598,805,455
139,337,526,444,852,979,796,190,560,70
262,424,221,70,905,780,913,597,560,328
907,122,906,147,52,515,301,936,350,533
908,133,909,402,543,635,782,843,622,25
910,911,583,979,124,657,918,582,189,14
767,77,459,794,914,55,423,389,422,343
580,914,581,128,107,473,558,794,448,91
472,522,473,445,581,124,87,794,920,346
919,91,78,686,809,677,125,480,862,675
921,681,686,920,34,919,319,452,818,642
548,221,487,671,71,177,337,946,657,244
924,224,332,225,467,925,127,618,681,188
926,927,632,323,162,181,683,511,200,122
929,478,722,178,640,857,44,841,658,655
931,263,828,70,452,671,172,868,687,262
932,933,458,778,44,224,531,801,400,727
934,935,863,637,562,613,561,444,132,345
937,808,398,399,809,75,936,952,802,792
939,938,561,197,187,474,923,226,227,454
941,818,34,632,865,3,226,355,616,73
943,942,295,175,977,151,946,963,294,654
868,945,173,122,944,485,385,492,882,301
947,781,34,946,145,49,222,398,273,188
948,949,489,268,814,661,685,334,680,90
63,328,555,609,85,871,578,367,485,678
952,709,425,708,130,579,580,609,552,608
671,42,312,871,729,721,648,537,343,391
956,957,997,993,686,67,147,146,56,503
959,162,958,405,163,990,317,615,417,891
506,302,983,652,14,953,549,171,193,641
962,842,983,852,324,788,153,98,450,42
964,965,273,996,88,356,925,126,437,668
967,940,237,601,690,700,96,660,505,764
959,435,709,906,578,801,212,969,163,434
971,787,91,728,625,499,459,796,175,898
382,262,223,971,293,787,560,913,898,70
975,974,331,712,951,680,988,621,207,950
977,943,801,77,122,674,17,253,24,942
354,366,946,532,124,793,333,506,365,497
775,487,132,868,870,706,890,968,190,301
209,459,515,62,485,221,337,175,657,414
984,985,158,968,902,316,683,486,481,662
986,987,200,547,843,254,584,440,927,553
988,989,925,666,172,924,951,946,582,158
990,317,163,843,926,991,618,833,308,405
499,770,177,77,231,742,889,19,324,942
994,687,522,456,304,52,9,836,547,987
996,997,56,507,158,873,862,919,154,634
506,847,788,231,714,42,575,772,674,894
